injq,accel,resolHA
Q1(far),-0.06066606612892187,-0.014521022747152354
Q2,-0.05143026328020982,-0.011959864409286957
Q3,-0.0415478645919756,-0.010307984656368624
Q4,-0.017744364150497682,-0.005843373776573981
Q5(lesion),0.10237241439496648,0.015721978243271675
