module,dist_rho,on_plaque_mean,far_mean
accel,-0.2834371328605387,0.4277111455496227,0.24681011145306483
resolHA,0.37669637770091113,-0.0061352385315781265,-0.0017421777613881727
micro,0.04879269388549054,-0.014187172538696138,-0.04655004378491563
astro,-0.11358762217002612,0.22635555792772788,0.08126018589682349
