sample,accel_Cd44_rho,accel_resolHA_rho
WT_CO1,0.039107294647805144,0.19858752763499818
WT_CO2,0.010975658000068753,0.27781360071091477
WT_CO3,0.014786084825676536,0.285450373124278
PSAPP_CO1,0.08917080478986046,0.2535281001870438
PSAPP_CO2,0.026990584471343403,0.28840673803127487
PSAPP_CO3,0.025987284716938855,0.2831389376451109
