annotation,label,prop_snps,prop_h2,prop_h2_se,enrichment,enrichment_se,enrichment_p,coef_z,coef_p_1sided
all_microglia,All microglial peaks (genome-wide),0.014967055903055,0.3137132595033248,0.0654668590843198,20.96025173790453,4.374063911323846,1.1135971967095114e-05,3.6229432326548943,0.0001456348817724
accelerator,Accelerator-gene enhancers,9.00831532928412e-05,0.0510335939873766,0.0509366435492136,566.5165141530653,565.4402814212043,0.3184264004343091,0.9871257818373076,0.161790490051091
DAM,DAM-gene enhancers,5.4351846679479614e-05,-0.0004952019538161,0.0019242739007845,-9.111041925334758,35.40402062384844,0.7768755270239859,-0.4278266526722683,0.6656113345652961
resolution,Resolution-gene enhancers,2.952445992465559e-05,-0.0006314063906619,0.0009124674283969,-21.385874365636187,30.905473994291913,0.4632960394336176,-1.0359804982412768,0.8498943796471365
