injq,accel,resolHA,order
Q5(lesion),0.1023724143949664,0.0157219782432716,0
Q4,-0.0177443641504976,-0.0058433737765739,1
Q3,-0.0415478645919756,-0.0103079846563686,2
Q2,-0.0514302632802098,-0.0119598644092869,3
Q1(far),-0.0606660661289218,-0.0145210227471523,4
