module,n,coherence,null_mean,null_sd,pctile
ACCEL,20,0.3648080960824355,0.028135423677948464,0.036652698190179654,1.0
RESOL,7,0.06372104553613007,0.02778168510858343,0.09510534193427218,0.712
RESOL+HYAL+CD44,10,0.13889994765591068,0.027379500476149513,0.06635862655446852,0.935
