gene,rho_vs_pseudotime
P2RY12,-0.3746329112927599
MEF2C,-0.22406629990269022
TMEM119,-0.07858376518982717
TREM2,-0.07597928470777772
C1QB,-0.045182614744910685
APOE,-0.04340243598561982
CEBPB,-0.00992135078599702
CD68,0.03604223539091229
SPP1,0.04711621838244503
SPI1,0.07818017956637353
NFKB1,0.1039578532208514
GPNMB,0.16207672974298912
