dband,accel,resolHA,micro,astro
on-plaque,0.4277111455496227,-0.006135238531578127,-0.01418717253869614,0.22635555792772788
0-25,0.40705054604740465,-0.004457070885800935,-0.03318056510547939,0.19912142701859573
25-50,0.39331567439615117,-0.003376351364181302,-0.042362024711821135,0.19911300285826028
50-100,0.3682914902185195,-0.0030571872037118662,-0.05734369163833698,0.19301147769818253
100-200,0.3562331053698947,-0.001316177190921553,-0.050342732413314766,0.21628884053939632
200-400,0.32470638033294097,-0.0020141098195115177,-0.05675513856868852,0.15034801236595904
>400,0.24681011145306483,-0.001742177761388173,-0.04655004378491563,0.08126018589682349
