cohort,celltype,arm,d,P
GSE155114,micro,accel,0.5232052340217412,0.23449883449883446
GSE155114,micro,brake,0.8390060043357483,0.13038073038073036
GSE155114,astro,accel,0.5637916578463893,0.8784770784770783
GSE155114,astro,brake,-0.09614753969273226,0.4418026418026417
