sample,accel_I,microglia_I,resolHA_I
WT_CO1,0.4045166718416327,0.11187976107275424,0.19415522136947044
WT_CO2,0.4335157379231376,0.1502698798348931,0.2649088445279859
WT_CO3,0.38037346745607153,0.1329736675412534,0.27190901451379795
PSAPP_CO1,0.3739961555498333,0.16692201387569439,0.22295062004426391
PSAPP_CO2,0.41700612050171104,0.21055549677693441,0.2531756982187362
PSAPP_CO3,0.34571142184563075,0.19195272884770354,0.1892506826014872
