gene,rho,P
SPP1,-0.2582509167439807,0.03629458877166964
CD44,0.27829394946370983,0.023662127253767047
ITGAX,0.42744086570858353,0.0003441089105913561
TYROBP,,
C3,0.1978197707289523,0.11134711977464787
C1QA,,
C1QB,0.36793743810792373,0.0023703643703657114
C1QC,0.40312601331339004,0.0007906003065204585
LGALS3,0.5749696684400237,4.4381389384675066e-07
B2M,0.2943024858232783,0.016456703428946784
APOE,-0.18420604236926538,0.1387114532972754
