cband,far_from_plaque,near_plaque,delta
inner,0.0923465409712514,0.2518672693246218,0.1595207283533704
mid1,0.0998059985397365,0.1708546778688022,0.0710486793290657
mid2,-0.0387668841340895,0.1408579797807333,0.1796248639148229
outer,-0.1840827707643043,0.0505756268058485,0.2346583975701529
