module,TBI_mean,n_TBI_donor,Control_mean,n_Ctrl_donor,delta,cell_MWU_p,donor_MWU_p
accel,0.758258309997797,18,0.6715194387642843,10,0.08673887123351265,0.0,0.004333498027753174
resolHA,0.06534938913772309,18,0.08253552636487123,10,-0.017186137227148138,1.8522426561527463e-71,0.06490183116483113
