contrast,sham_mean,tbi_mean,p
accel,-0.02588080317421015,-0.013801507715848538,3.800158639619099e-26
resolHA,-0.00743562903004233,-0.005381762030011704,4.00281637221335e-06
micro,0.010458743530139447,0.004810510704062666,7.93768466043416e-14
astro,-0.006446273648161232,0.04587300473488165,3.8897886015039094e-76
injury,-0.0475163252321539,-0.017522691758688858,1.988290006881746e-95
