gene,arm,base,CEBPB_delta,CEBPB_score,SPI1_delta,SPI1_score
APOE,accelerator,4.864281177520752,-0.0015716552734375,7.1155108277614065,-0.0923404693603515,15.275173726007884
APOE,accelerator,5.848806381225586,-0.0170645713806152,6.043757622053565,-0.0378684997558593,15.275173726007884
APOE,accelerator,6.819326877593994,-0.0076174736022949,9.226516797266328,-0.6990394592285156,15.4671906544003
APOE,accelerator,7.42572546005249,-0.1922307014465332,2.677777791085099,0.0012426376342773,11.808181090823702
APOE,accelerator,5.766637802124023,-0.0014638900756835,9.460678236131596,-0.2770333290100097,9.644217637755265
APOE,accelerator,6.410532474517822,-0.1506280899047851,11.511841242229057,0.0206804275512695,16.1371365672478
APOE,accelerator,6.303215503692627,-0.0015702247619628,11.511841242229057,-0.0204534530639648,13.44331775994751
APOE,accelerator,4.763032913208008,-0.0280714035034179,6.4676028936054895,-0.4425864219665527,12.877931211106343
APOE,accelerator,8.005208969116211,0.0007572174072265,7.280670653139159,-0.0606937408447265,9.290866814837214
APOE,accelerator,5.530069351196289,-0.0111804008483886,6.579654961024669,-0.0166554450988769,9.19580032016442
APOE,accelerator,6.357368469238281,-0.2626457214355469,6.157015611225301,0.0369820594787597,12.70251238710634
APOE,accelerator,5.674436092376709,-0.0488791465759277,6.157015611225301,-0.0485320091247558,9.324970480257884
APOE,accelerator,6.458271503448486,-0.1048431396484375,8.519222503923356,-0.0091629028320312,12.53689181348576
APOE,accelerator,7.042313098907471,-0.0105423927307128,9.186478482124269,-0.0247807502746582,17.91494634718005
APOE,accelerator,5.960989475250244,0.0346326828002929,5.965668504617321,0.0809888839721679,11.235384529006131
APOE,accelerator,4.313035011291504,0.1420698165893554,9.075623164495148,0.0494484901428222,9.55024904721107
APOE,accelerator,7.111178398132324,0.0321769714355468,11.876972847127778,-0.0436758995056152,17.91494634718005
APOE,accelerator,5.47157096862793,0.0352568626403808,5.912398982823758,-0.1268930435180664,17.91494634718005
APOE,accelerator,5.124046325683594,-0.0779666900634765,12.506345470497918,-0.005446434020996,14.604146032536793
APOE,accelerator,6.458057403564453,0.0030345916748046,6.579654961024669,-1.6644434928894043,17.67919508888864
APOE,accelerator,4.983779430389404,-0.4371685981750488,12.629651591734063,-0.0434722900390625,13.408737308392794
APOE,accelerator,5.172415733337402,-0.0019817352294921,5.912398982823758,-0.0074038505554199,6.692992394394097
APOE,accelerator,6.863802909851074,0.0054583549499511,4.840621578175076,-0.0094084739685058,8.781801020062112
APOE,accelerator,7.5638298988342285,0.0090937614440917,9.323418847821742,0.0001964569091796,13.08138567840074
B2M,accelerator,7.116896152496338,0.0034165382385253,9.022034620089206,-0.0089211463928222,9.724111550146214
B2M,accelerator,3.757678270339966,0.0056138038635253,4.105852605127839,-0.0177783966064453,11.898682041384156
B2M,accelerator,5.24699068069458,0.0053973197937011,6.605089260051873,-0.6596145629882812,10.81479018298173
B2M,accelerator,5.951557636260986,-0.0034265518188476,5.963916582115857,-1.064295768737793,18.506862170276495
B2M,accelerator,6.183948040008545,-0.0049986839294433,5.963916582115857,-0.7028055191040039,18.506862170276495
B2M,accelerator,6.364480972290039,-0.0016431808471679,3.7560085620555217,-0.3097872734069824,18.506862170276495
B2M,accelerator,6.9858574867248535,0.0046381950378417,6.234881645897367,-0.0541543960571289,14.446676506945993
B2M,accelerator,6.44196891784668,-0.0057878494262695,6.391272568568341,-0.0325684547424316,14.446676506945993
B2M,accelerator,5.415812969207764,-0.0032615661621093,6.278825906003539,0.0027642250061035,10.984784983778503
B2M,accelerator,7.352122306823731,-0.0080494880676269,12.3954901528688,-0.0321407318115234,13.12363394847688
B2M,accelerator,5.836191177368164,-0.0132946968078613,7.425719593501488,-0.018935203552246,16.698853420315075
B2M,accelerator,6.081223487854004,-0.0245280265808105,6.570065144338733,-0.0211973190307617,10.409691589449652
C1QA,accelerator,5.586273193359375,-0.0646595954895019,7.251411971221375,-0.0401153564453125,12.4024551654625
