gene,rho_vs_pseudotime
P2RY12,-0.3746329112927599
MEF2C,-0.2240662999026902
TMEM119,-0.0785837651898271
TREM2,-0.0759792847077777
C1QB,-0.0451826147449106
APOE,-0.0434024359856198
CEBPB,-0.009921350785997
CD68,0.0360422353909122
SPP1,0.047116218382445
SPI1,0.0781801795663735
NFKB1,0.1039578532208514
GPNMB,0.1620767297429891
