cell_type,n,pct_detect,mean_expr,mean_in_pos,gene,dataset
Microglia,40000,0.255,0.0024772826582193375,0.9714834690093994,TNFAIP6 (TSG-6),SEA-AD MTG (glia-only)
Astrocyte,40000,1.9924999999999997,0.014291476458311081,0.7172635793685913,TNFAIP6 (TSG-6),SEA-AD MTG (glia-only)
