dband,accel,resolHA,micro,astro,order
on-plaque,0.4277111455496227,-0.0061352385315781,-0.0141871725386961,0.2263555579277278,0
0-25,0.4070505460474046,-0.0044570708858009,-0.0331805651054793,0.1991214270185957,1
25-50,0.3933156743961511,-0.0033763513641813,-0.0423620247118211,0.1991130028582602,2
50-100,0.3682914902185195,-0.0030571872037118,-0.0573436916383369,0.1930114776981825,3
100-200,0.3562331053698947,-0.0013161771909215,-0.0503427324133147,0.2162888405393963,4
200-400,0.3247063803329409,-0.0020141098195115,-0.0567551385686885,0.150348012365959,5
>400,0.2468101114530648,-0.0017421777613881,-0.0465500437849156,0.0812601858968234,6
