dataset,species,condition,modality,d,lo,hi,n_dis,n_ctrl,resol_d,resol_lo,resol_hi,note
SEA-AD,human,AD,snRNA,0.3514380349260257,-0.0795579806387499,0.7824340504908014,42,42,0.4019194795833107,-0.0300842217085109,0.8339231808751324,
CEREBRI,mouse,TBI,snRNA,0.964260492033676,0.201683446209417,1.7268375378579353,26,10,-0.8855377605295991,-1.643003305838067,-0.128072215221131,
Marinaro (GSE153873),human,AD,bulk,-0.0365321172388422,-0.8758233990123533,0.8027591645346689,12,10,,,,whole-tissue bulk — microglial signal diluted
Emory CTE proteomics (CTE4),human,CTE,bulk protein,0.8570234609046695,0.32375720009567516,1.5250334680012532,15,23,,,,McKee stage IV vs control; accelerator arm only (brake below MS floor)
