gene,aptamer,cum_AmT,cum_ApT,cum_ApTp,onset,tau_emergence
TNFAIP6,X5036.50,0.0,0.00829948819229257,-0.0047771042669713295,0.00829948819229257,-0.0130765924592639
TGFB1,X2333.72,0.0,0.00806959406927846,-0.00816073188597044,0.00806959406927846,-0.0162303259552489
TGFB1,X14108.15,0.0,-0.0251641646009102,0.016146408583109,-0.0251641646009102,0.0413105731840192
TGFB1,X21925.15,0.0,0.000721482170134372,-0.001219383290087108,0.000721482170134372,-0.00194086546022148
