gene,arm,base,CEBPB_delta,CEBPB_score,SPI1_delta,SPI1_score
APOE,accelerator,4.864281177520752,-0.0015716552734375,7.1155108277614065,-0.09234046936035156,15.275173726007884
APOE,accelerator,5.848806381225586,-0.017064571380615234,6.043757622053565,-0.037868499755859375,15.275173726007884
APOE,accelerator,6.819326877593994,-0.007617473602294922,9.226516797266328,-0.6990394592285156,15.467190654400301
APOE,accelerator,7.42572546005249,-0.1922307014465332,2.677777791085099,0.0012426376342773438,11.808181090823702
APOE,accelerator,5.766637802124023,-0.0014638900756835938,9.460678236131596,-0.27703332901000977,9.644217637755265
APOE,accelerator,6.410532474517822,-0.15062808990478516,11.511841242229057,0.02068042755126953,16.1371365672478
APOE,accelerator,6.303215503692627,-0.0015702247619628906,11.511841242229057,-0.020453453063964844,13.44331775994751
APOE,accelerator,4.763032913208008,-0.02807140350341797,6.4676028936054895,-0.44258642196655273,12.877931211106343
APOE,accelerator,8.005208969116211,0.0007572174072265625,7.280670653139159,-0.06069374084472656,9.290866814837214
APOE,accelerator,5.530069351196289,-0.011180400848388672,6.579654961024669,-0.016655445098876953,9.19580032016442
APOE,accelerator,6.357368469238281,-0.2626457214355469,6.157015611225301,0.036982059478759766,12.702512387106339
APOE,accelerator,5.674436092376709,-0.048879146575927734,6.157015611225301,-0.04853200912475586,9.324970480257884
APOE,accelerator,6.458271503448486,-0.1048431396484375,8.519222503923356,-0.00916290283203125,12.53689181348576
APOE,accelerator,7.042313098907471,-0.01054239273071289,9.186478482124269,-0.024780750274658203,17.91494634718005
APOE,accelerator,5.960989475250244,0.03463268280029297,5.965668504617321,0.08098888397216797,11.235384529006131
APOE,accelerator,4.313035011291504,0.14206981658935547,9.075623164495148,0.049448490142822266,9.55024904721107
APOE,accelerator,7.111178398132324,0.032176971435546875,11.876972847127778,-0.043675899505615234,17.91494634718005
APOE,accelerator,5.47157096862793,0.03525686264038086,5.912398982823758,-0.1268930435180664,17.91494634718005
APOE,accelerator,5.124046325683594,-0.07796669006347656,12.506345470497918,-0.005446434020996094,14.604146032536791
APOE,accelerator,6.458057403564453,0.0030345916748046875,6.579654961024669,-1.6644434928894043,17.67919508888864
APOE,accelerator,4.983779430389404,-0.43716859817504883,12.629651591734065,-0.0434722900390625,13.408737308392794
APOE,accelerator,5.172415733337402,-0.0019817352294921875,5.912398982823758,-0.007403850555419922,6.692992394394097
APOE,accelerator,6.863802909851074,0.005458354949951172,4.840621578175076,-0.00940847396850586,8.781801020062112
APOE,accelerator,7.5638298988342285,0.009093761444091797,9.323418847821742,0.0001964569091796875,13.08138567840074
B2M,accelerator,7.116896152496338,0.0034165382385253906,9.022034620089206,-0.008921146392822266,9.724111550146214
B2M,accelerator,3.757678270339966,0.005613803863525391,4.105852605127839,-0.017778396606445312,11.898682041384157
B2M,accelerator,5.24699068069458,0.005397319793701172,6.605089260051873,-0.6596145629882812,10.81479018298173
B2M,accelerator,5.951557636260986,-0.0034265518188476562,5.963916582115857,-1.064295768737793,18.506862170276495
B2M,accelerator,6.183948040008545,-0.004998683929443359,5.963916582115857,-0.7028055191040039,18.506862170276495
B2M,accelerator,6.364480972290039,-0.0016431808471679688,3.7560085620555217,-0.3097872734069824,18.506862170276495
B2M,accelerator,6.9858574867248535,0.004638195037841797,6.234881645897367,-0.054154396057128906,14.446676506945991
B2M,accelerator,6.44196891784668,-0.005787849426269531,6.391272568568341,-0.03256845474243164,14.446676506945991
B2M,accelerator,5.415812969207764,-0.003261566162109375,6.278825906003539,0.0027642250061035156,10.984784983778503
B2M,accelerator,7.3521223068237305,-0.008049488067626953,12.395490152868799,-0.03214073181152344,13.12363394847688
B2M,accelerator,5.836191177368164,-0.013294696807861328,7.425719593501488,-0.018935203552246094,16.698853420315075
B2M,accelerator,6.081223487854004,-0.024528026580810547,6.570065144338733,-0.02119731903076172,10.409691589449652
C1QA,accelerator,5.586273193359375,-0.06465959548950195,7.251411971221375,-0.0401153564453125,12.402455165462499
C1QA,accelerator,6.752566814422607,-0.009473323822021484,6.367731544010947,-0.504122257232666,13.763666826226114
C1QA,accelerator,6.040708541870117,-0.006656169891357422,3.1153194416202217,-0.06845998764038086,11.004051129998427
C1QA,accelerator,6.127845287322998,-0.10623025894165039,5.64576477037364,-0.09997224807739258,12.379046743014072
C1QA,accelerator,6.240755081176758,-0.011592388153076172,5.827364689614736,0.07529878616333008,12.856159493639414
C1QA,accelerator,3.607560157775879,0.0007040500640869141,9.324237044326306,-0.015865802764892578,12.962214705816447
C1QA,accelerator,5.216300964355469,-0.005220890045166016,3.883809440839018,-0.027339458465576172,11.448516221818288
C1QA,accelerator,5.988029479980469,4.57763671875e-05,6.084043648426955,-0.05116415023803711,17.052106562264164
C1QA,accelerator,5.414729118347168,-0.08519363403320312,7.251411971221375,-0.0013594627380371094,8.476609944231733
C1QA,accelerator,6.1421356201171875,-0.0036182403564453125,4.59017628813565,-0.832176685333252,20.141271526267836
C1QA,accelerator,6.186897277832031,-0.0015740394592285156,11.876972847127778,-1.6167898178100586,12.54261232310731
C1QB,accelerator,6.752566814422607,-0.009473323822021484,6.367731544010947,-0.504122257232666,13.763666826226114
C1QB,accelerator,6.040708541870117,-0.006656169891357422,3.1153194416202217,-0.06845998764038086,11.004051129998427
C1QB,accelerator,6.127845287322998,-0.10623025894165039,5.64576477037364,-0.09997224807739258,12.379046743014072
C1QB,accelerator,6.240755081176758,-0.011592388153076172,5.827364689614736,0.07529878616333008,12.856159493639414
C1QB,accelerator,3.607560157775879,0.0007040500640869141,9.324237044326306,-0.015865802764892578,12.962214705816447
